index,0,1,2,3,4,5
0,,,,,,
1,9 - THEVENARD Xavier,SEH,1,20:44:16,00:00:00,Francia
2,"38 - HAJNAL Robert
CEP ROMANIA",SEH,2,21:31:37,00:47:21,Rumania
3,"25 - GAMITO Jordi
COMPRESSPORT",SEH,3,21:57:01,01:12:45,España
4,"78 - SCHJØLBERG Hallvard
LOFOTEN ULTRALOPERKLUBB",V1H,1,22:06:59,01:22:43,Noruega
5,"50 - HALL Damian
INOV-8",V1H,2,22:35:13,01:50:57,Reino Unido
6,"97 - EVARTS Roman
TREKKING TEAM 007",SEH,4,22:38:29,01:54:13,Letonia
7,"75 - RUZZA Stefano
TEAM VIBRAM",SEH,5,23:02:19,02:18:03,Italia
8,"40 - CLAVERY Erik
TUB",SEH,6,23:07:53,02:23:37,Francia
9,"56 - GRASEL Florian
TRAILBEARD 4 BOA RUNNING TEAM",SEH,7,23:12:03,02:27:47,Austria
10,"16 - DOMINGUEZ LEDO Javier
TEAM VIBRAM",V1H,3,23:27:08,02:42:52,España
11,55 - RESTORP Petter,V1H,4,23:34:35,02:50:19,Suecia
12,461 - HAMMES Christopher,SEH,8,23:47:39,03:03:23,Estados Unidos
13,"67 - BLANCHARD Mathieu
SALOMON",SEH,9,23:53:02,03:08:46,Francia
14,45 - DEVILLAZ Sacha,SEH,10,23:59:55,03:15:39,Francia
15,"611 - MANN Jim
HELM HILL",V1H,5,24:07:27,03:23:11,Reino Unido
16,"465 - GRAIRI Emir
ESTY",SEH,11,24:16:21,03:32:05,Túnez
17,"480 - CURMER Gregoire
Compressport international / Ravanel&C0",SEH,12,24:26:59,03:42:43,Francia
18,710 - BOSQUET Matthieu,SEH,13,24:27:00,03:42:44,Francia
19,"73 - MASTROTTO Roberto
Team La Sportiva",SEH,14,24:28:23,03:44:07,Italia
20,"463 - COLLOMB-PATTON Bertrand
CAEN ATHLETIC CLUB",V1H,6,24:33:26,03:49:10,Francia
21,"63 - FREITAS Francisco
MUR/ ACD JARDIM DA SERRA",V1H,7,24:40:38,03:56:22,Portugal
22,"117 - GIBLIN Paul
COMPRESSPORT",V1H,8,24:47:49,04:03:33,Reino Unido
23,"112 - LI Kuo
COLUMBIA",SEH,15,25:03:37,04:19:21,China
24,"102 - HENRI Sebastien
SMAC",SEH,16,25:08:08,04:23:52,Francia
25,"95 - BURNET Jean
CMBM",SEH,17,25:19:01,04:34:45,Francia
26,"484 - DUJARDIN Vincent
TEAM DU CAILLOU",SEH,18,25:32:11,04:47:55,Francia
27,"496 - OGLY Krystian
KULINARNA STRONA MOCY/KB SOBOTKA",V1H,9,25:34:32,04:50:16,Polonia
28,"44 - OLSON Timothy
RUN MINDFUL",SEH,19,25:40:09,04:55:53,Estados Unidos
29,"54 - FERRARI Ugo
CESNI TEAM TRAIL",SEH,20,25:40:11,04:55:55,Francia
30,"473 - WILLCOCK Patrick
PILATUS AIRCRAFT LTD",V1H,10,25:44:57,05:00:41,Sudáfrica
31,"519 - GONÇALVES Hugo
Trail Team Bifase",SEH,21,25:56:12,05:11:56,Portugal
32,"28 - JONSSON Thorbergur
66 NORTH",SEH,22,25:57:11,05:12:55,Islandia
33,"53 - CANEPA Francesca
MONTBLANCTEAM",V1F,1,26:03:48,05:19:32,Italia
34,491 - FREI Patrick,V1H,11,26:04:05,05:19:49,Suiza
35,"46 - FRAILE AZPEITIA Uxue
TEAM VIBRAM",V1F,2,26:08:07,05:23:51,España
36,"517 - MAUBOUSSIN Anthony
VIKING CRUISES",SEH,23,26:10:42,05:26:26,Francia
37,"90 - PAULY Jocelyne
GIVRES DE NAY",V1F,3,26:15:11,05:30:55,Francia
38,"508 - HILDEBRAND Christian
TEAM HÄMPI",SEH,24,26:15:28,05:31:12,Alemania
39,364 - SHEPHERD Samuel,SEH,25,26:17:20,05:33:04,Reino Unido
40,"47 - PASCALL Beth
RAIDLIGHT",SEF,1,26:26:40,05:42:24,Reino Unido
41,"531 - BENVENUTO Enzo
TEAM GRIVEL",V1H,12,26:38:56,05:54:40,Italia
42,"82 - GOUDARD Sebastien
EATT",SEH,26,26:40:03,05:55:47,Francia
43,"104 - FORI Katia
COLUMBIA",V1F,4,26:40:43,05:56:27,Italia
44,368 - GUIBERT Clement,SEH,27,26:41:21,05:57:05,Francia
45,"58 - BLANCHET Juliette
TEAM VIBRAM",SEF,2,26:48:44,06:04:28,Francia
46,"101 - CASADELLA GARDELLA Jordi
TRC ARESTA",V1H,13,27:03:40,06:19:24,España
47,"86 - PIANO Paolo
DELTA SPEDIZIONI",V1H,14,27:07:20,06:23:04,Italia
48,"545 - SAPIHA Serhii
TURE",V1H,15,27:09:18,06:25:02,Ucrania
49,507 - ARRO Luca,SEH,28,27:11:36,06:27:20,Italia
50,100 - LAYFIELD Dominick,V1H,16,27:12:29,06:28:13,Estados Unidos
51,634 - JOHANSSON Jonas,SEH,29,27:12:29,06:28:13,Suecia
52,"481 - POUS SOLER Benet
APOSTOLS DE BACUS",SEH,30,27:16:02,06:31:46,España
53,577 - MENANTEAU Matthieu,V1H,17,27:16:22,06:32:06,Francia
54,89 - WERMESCHER Ildiko,V2F,1,27:19:36,06:35:20,Hungría
55,77 - BRADLEY Catherine,SEF,3,27:22:11,06:37:55,Estados Unidos
56,"652 - ABLANEDO Daniel
AVIENTU SOLORUNNERS",V1H,18,27:22:30,06:38:14,España
57,482 - NIKOLOVA Maria,SEF,4,27:23:20,06:39:04,Bulgaria
58,"94 - VIARD Tony
CAHM RUNNING CONSEIL",SEH,31,27:24:40,06:40:24,Francia
59,730 - TANG Eric,SEH,32,27:25:32,06:41:16,Australia
60,506 - HOUGH Andrew,V1H,19,27:29:36,06:45:20,Nueva Zelandia
61,23 - LICKTEIG Kaci,SEF,5,27:31:39,06:47:23,Estados Unidos
62,"837 - KOVACS Zsolt
ACCENTURE",SEH,33,27:31:57,06:47:41,Rumania
63,"474 - FELCH Florian
Team Trail Magazin",SEH,34,27:32:57,06:48:41,Alemania
64,"522 - LI Haifeng
TGJJ",V1H,20,27:33:26,06:49:10,China
65,"60 - MACIEL Fernanda
The North Face Red Bull",SEF,6,27:35:11,06:50:55,Brasil
66,"490 - GABIOUD Candide
ALPSXPERIENCE",SEH,35,27:44:36,07:00:20,Suiza
67,308 - CAULET David,SEH,36,27:45:45,07:01:29,Francia
68,"815 - HELIER Clement
AO CHARENTON",SEH,37,27:45:48,07:01:32,Francia
