index,0,1,2,3,4,5
0,,,,,,
1,"2 - CAPELL Pau
THE NORTH FACE",SEH,1,20:19:07,00:00:00,España
2,5 - THEVENARD Xavier,SEH,2,21:07:56,00:48:49,Francia
3,"63 - HAWKER Scott
TEAM VIBRAM",SEH,3,21:48:04,01:28:57,Nueva Zelandia
4,"11 - OWENS Tom
SALOMON",SEH,4,22:04:29,01:45:22,Reino Unido
5,"34 - SYMONDS Andrew
SCOTT RUNNING",SEH,5,22:35:15,02:16:08,Reino Unido
6,"90 - LOPEZ Joaquin
WAA TEAM",SEH,6,22:47:47,02:28:40,Ecuador
7,"148 - WONG Ho Chung
THE NORTH FACE ADVENTURE TEAM",SEH,6,22:47:47,02:28:40,HK
8,"68 - OBARA Masatoshi
ANSWER4",SEH,8,23:00:12,02:41:05,Japón
9,"14 - DOMINGUEZ LEDO Javier
TEAM VIBRAM",V1H,1,23:16:03,02:56:56,España
10,29 - GRANGIER Germain,SEH,9,23:16:03,02:56:56,Francia
11,"33 - LUO Canhua
HOKA ONE ONE",SEH,10,23:21:17,03:02:10,China
12,"72 - KERN Martin
TEAM PROVENCE ENDURANCE",SEH,11,23:38:44,03:19:37,Francia
13,"64 - BEAUXIS Guillaume
TARBES PYRENEES ATHLETISME",SEH,12,23:41:28,03:22:21,Francia
14,"91 - RUIZ OLLER Lluis
NONSTOP MINIMALIST RUNNERS",SEH,13,23:59:49,03:40:42,España
15,"32 - JONES Harry
HOKA ONE ONE",SEH,14,24:03:53,03:44:46,Reino Unido
16,"87 - JIMENEZ Moises
VERT",SEH,15,24:10:39,03:51:32,Venezuela
17,"130 - KRAH Matthias
COMPRESSPORT/ALTRA RUNNING",SEH,16,24:20:45,04:01:38,Alemania
18,"27 - COURT Sylvain
MERIBEL SPORTS MONTAGNE",SEH,17,24:26:28,04:07:21,Francia
19,"46 - SCHLARB Jason
ALTRA FOOTWEAR",V1H,2,24:27:59,04:08:52,Estados Unidos
20,"89 - FREITAS Francisco
ACD JARDIM DA SERRA/ TFALCON MADEIRA",V1H,3,24:29:19,04:10:12,Portugal
21,"3 - DAUWALTER Courtney
SALOMON",SEF,1,24:34:26,04:15:19,Estados Unidos
22,"121 - ROVERA René
TEAM GARMIN ADVENTURE",V2H,1,24:40:52,04:21:45,Francia
