index,0,1,2,3,4,5
0,,,,,,
1,"18 - D'HAENE François
CMSAB",SEH,1,20:46:00,00:00:00,Francia
2,"35 - DUNAND-PALLAZ Aurélien
TEAM COMPRESSPORT",SEH,2,20:58:31,00:12:31,Francia
3,"59 - BLANCHARD Mathieu
SALOMON",SEH,3,21:12:44,00:26:44,Francia
4,"34 - POMMERET Ludovic
HOKA ONE ONE",V1H,1,21:38:45,00:52:45,Francia
5,"24 - GRANGIER Germain
ON",SEH,4,21:52:47,01:06:47,Francia
6,"19 - NAMBERGER Hannes
DYNAFIT",SEH,5,22:22:06,01:36:06,Alemania
7,"3 - DAUWALTER Courtney
SALOMON",SEF,1,22:30:55,01:44:55,Estados Unidos
8,"48 - CURMER Gregoire
COMPRESSPORT INTERNATIONAL / SCARPA",SEH,6,23:00:10,02:14:10,Francia
9,"54 - PAZOS Diego
COMPRESSPORT INTERNATIONAL",SEH,6,23:00:10,02:14:10,Suiza
10,"87 - CLÉMENT Mathieu
TEAM ASICS TRAIL",SEH,8,23:08:06,02:22:06,Suiza
11,"73 - WONG Ho Chung
THE NORTH FACE ADVENTURE TEAM",SEH,9,23:17:40,02:31:40,HK
12,"98 - NOEL Yannick
NORMANDIETRAIL",SEH,10,23:42:28,02:56:28,Francia
13,"47 - ORNATI Giulio
TEAM SALOMON",SEH,11,23:45:42,02:59:42,Italia
14,"80 - TOLSTENKO Aleksei
ADIDASTERREX",SEH,12,23:56:20,03:10:20,Rusia
15,"58 - AIZPURU LARRAÑAGA Jon
RAIDLIGHT TEAM",SEH,13,23:57:07,03:11:07,España
16,"11 - BRUYAS Camille
SALOMON FRANCE",SEF,2,24:09:42,03:23:42,Francia
17,"69 - VIET Vincent
TEAM NEW BALANCE",SEH,14,24:16:26,03:30:26,Francia
18,"108 - FERRARI Ugo
DUC ARMY",SEH,15,24:34:37,03:48:37,Francia
19,"95 - BUBLAK Benjamin
TRAIL MAGAZIN",SEH,16,24:37:06,03:51:06,Alemania
20,"51 - DOMINGUEZ LEDO Javier
TEAM VIBRAM",V1H,2,24:39:19,03:53:19,España
21,"130 - ROVERA René
TEAM GARMIN ADVENTURE",V2H,1,24:49:03,04:03:03,Francia
22,"112 - SOUSA Bruno
FURFOR RUNNING PROJECT",SEH,17,24:54:20,04:08:20,Portugal
23,"57 - KOTKA Mimmi
LA SPORTIVA",V1F,1,25:08:30,04:22:30,Suecia
24,"233 - CERISIER Nicolas
AUTOURDUTRAIL",SEH,18,25:09:31,04:23:31,Francia
25,304 - LABY Jeremy,SEH,19,25:12:33,04:26:33,Francia
26,"209 - HELIER Clement
AO CHARENTON",SEH,20,25:17:54,04:31:54,Francia
27,"188 - TAZI Samir
AIX ATHLE PROVENCE",SEH,21,25:17:55,04:31:55,Francia
28,"152 - GOLEA Cedric
TEAM INSTINCT / HOKA",V1H,3,25:24:10,04:38:10,Francia
29,"107 - DURAND Regis
TEAM BEN RUN",V1H,4,25:34:38,04:48:38,Francia
30,"129 - GARAU MAIRATA Pere Lluis
CLUB ESPORTS ALTURA",V1H,5,25:39:18,04:53:18,España
31,"175 - ŠTVERÁK Tomáš
Top4Running/The North Face",SEH,22,25:50:27,05:04:27,República Checa
32,"165 - MARIN Jérémie
COMPRESSPORT / ALTRA ELITE",SEH,23,25:51:37,05:05:37,Francia
33,"91 - DELESPIERRE Marion
TOR ON RUNNING",SEF,3,25:54:33,05:08:33,Francia
