index,0,1,2,3,4,5
0,,,,,,
1,"1 - JORNET BURGADA Kilian
NNORMAL",35-39M,1,19:49:30,00:00:00,España
2,"41 - BLANCHARD Mathieu
SALOMON",35-39M,2,19:54:50,00:05:20,Francia
3,"11 - EVANS Thomas
ADIDAS TERREX / RED BULL",20-34M,1,20:34:36,00:45:06,Reino Unido
4,"3 - WALMSLEY Jim
HOKA",20-34M,2,21:12:12,01:22:42,Estados Unidos
5,"33 - MILLER Zach
THE NORTH FACE",20-34M,3,21:27:50,01:38:20,Estados Unidos
6,"63 - MARMISSOLLE Beñat
TEAM ASICS",40-44M,1,21:28:15,01:38:45,Francia
7,"101 - JOYEUX-BOUILLON Arthur
COMPRESSPORT",20-34M,4,21:35:46,01:46:16,Francia
8,"71 - RUSSI Jonas
HOKA / LEKI / JULBO",35-39M,3,21:46:17,01:56:47,Suiza
9,"47 - HAJNAL Robert
ALTRA - UGLOW",20-34M,5,22:07:58,02:18:28,Rumania
10,"10 - GARRIVIER Thibaut
HOKA ONE ONE",20-34M,6,22:09:19,02:19:49,Francia
11,"77 - SYMONDS Andrew
SCOTT RUNNING",40-44M,2,22:24:29,02:34:59,Reino Unido
12,"64 - MARQUET Thibault
CMAB",20-34M,7,22:26:34,02:37:04,Francia
13,"104 - BERSON Alban
ALTRA/BRUBECK/SCBA",40-44M,3,22:27:40,02:38:10,Francia
14,"23 - ELAM Jimmy
ALTRA",35-39M,4,22:36:11,02:46:41,Estados Unidos
15,"139 - DENEFFE Guillaume
TRAKKS BELGIUM",35-39M,5,22:40:06,02:50:36,Bélgica
16,"53 - MOGAVERO Jeff
HOKA",20-34M,8,22:52:01,03:02:31,Estados Unidos
17,127 - BARRERA Jhon,35-39M,6,22:54:25,03:04:55,Colombia
18,"121 - BOUCHEIX Alexandre
CASQUETTE VERTE",20-34M,9,22:55:31,03:06:01,Francia
19,103 - DARBYSHIRE Mark,40-44M,4,23:03:43,03:14:13,Reino Unido
20,"28 - DENG Guomin
THENORTHFACE & SUUNTO",20-34M,10,23:04:39,03:15:09,China
21,"161 - BERAUD Alexandre
TEAM MERRELL PROVENCE ENDURANCE",20-34M,11,23:11:44,03:22:14,Francia
22,8 - SCHIDE Katie,20-34F,1,23:15:12,03:25:42,Estados Unidos
23,"65 - FARVARD Rod
BUFF, ULTIMATE DIRECTION",20-34M,12,23:28:35,03:39:05,Estados Unidos
24,"134 - CHORIER Julien
HOKA",40-44M,5,23:32:35,03:43:05,Francia
25,"116 - LESNIAK Kamil
HOKA GARMIN TEAM",20-34M,13,23:35:27,03:45:57,Polonia
26,"158 - FERRARI Ugo
TEAM ALTRA",20-34M,14,23:38:12,03:48:42,Francia
27,"107 - GRENOT Maxime
TEAM TSL",20-34M,15,23:42:44,03:53:14,Francia
28,"164 - MAMBA Hajime
AO Coolers/BIGWING",20-34M,16,23:44:34,03:55:04,Japón
29,362 - PALADIN Massimo,35-39M,7,23:45:25,03:55:55,Italia
30,"83 - RUEDA Santos Gabriel
COLUMBIA EUROPE",20-34M,17,23:55:04,04:05:34,Argentina
31,"125 - SIMPANEN Juuso
SALOMON FIN",20-34M,18,23:58:21,04:08:51,Finlandia
32,"75 - PRIADKA Marián
SLOVAK ULTRA TRAIL TEAM / SALOMON / SUUNTO",35-39M,8,24:04:07,04:14:37,Eslovaquia
33,"108 - WONG Ho Chung
THE NORTH FACE ADVENTURE TEAM",35-39M,9,24:04:28,04:14:58,HK
