index,0,1,2,3,4,5
64,"12 - HAWKER Scott
HOKA ONE ONE",SEH,40,27:53:38,07:41:54,Nueva Zelandia
65,"121 - LESNIAK Kamil
J'AIME LES BOULETTES DE VIANDE",ESH,1,28:00:25,07:48:41,Polonia
66,"224 - SPERKA Tamás
COMPRESSPORT HUNGARY",V1H,18,28:01:29,07:49:45,Hungría
67,1046 - BERNARD Armin,V2H,2,28:01:36,07:49:52,Alemania
68,214 - DUMONT Clement,SEH,41,28:01:54,07:50:10,Francia
69,"2545 - BETHELL Anthony
RAIDLIGHT/BUFF UK",V1H,19,28:06:01,07:54:17,Reino Unido
70,"361 - LAWSON Dan
NO CLUB",V1H,20,28:07:40,07:55:56,Reino Unido
71,167 - PELLEGRINI Jimmy,SEH,42,28:09:44,07:58:00,Italia
72,"2653 - MONTANI Alessandro
SISPORT",V1H,21,28:12:35,08:00:51,Italia
73,249 - LAZAR ADLER Adrian,SEH,43,28:17:49,08:06:05,Australia
74,"377 - MATSUNAGA Hiroaki
THE NORTH FACE JAPAN",SEH,44,28:17:57,08:06:13,Japón
75,134 - HUSER Andrea,V1F,4,28:20:24,08:08:40,Suiza
76,"1711 - BRAGHINI Danilo
TRAIL RUNNING BRESCIA",V2H,3,28:20:31,08:08:47,Italia
77,"2232 - DE STAEL Antoine
TEAM BANFI - TRAILER DE PARIS",SEH,45,28:24:48,08:13:04,Francia
78,"2452 - PHILIPPE Stephane
transport lhèritier",V1H,22,28:26:06,08:14:22,Francia
79,153 - FUJIOKA Masazumi,V1H,23,28:27:49,08:16:05,Japón
80,"1267 - CHAUSSE Sebastien
COTEN'TRAIL",SEH,46,28:36:06,08:24:22,Francia
81,"1517 - CHABANNE Vincent
MARSEILLE TRAIL CLUB",SEH,47,28:37:26,08:25:42,Francia
82,"221 - ALVES Ester
DESNIVEL POSITIVO",SEF,4,28:39:01,08:27:17,Portugal
83,"2089 - BAKAS Evangelos
EOS KALAMATAS",V1H,24,28:49:08,08:37:24,Grecia
84,225 - THERY Jonathan,SEH,48,28:50:39,08:38:55,Francia
85,"143 - ARNAUD Sylvain
TEAM ENDURANCE SHOP ECHIROLLES",SEH,49,29:03:04,08:51:20,Francia
86,135 - RICHARDS-CHISHOLM Emily,SEF,5,29:11:29,08:59:45,Estados Unidos
87,"178 - CLAP Cesare
S.C. VALGRISENCHE",V1H,25,29:12:22,09:00:38,Italia
88,"174 - MANCISIDOR Igon
BURDIN GURUTZ",SEH,50,29:12:30,09:00:46,España
89,210 - THURMAN Wes,V1H,26,29:18:30,09:06:46,Estados Unidos
90,"1414 - LEFRANC Julien
RUNNING CLUB MABLY",SEH,51,29:21:40,09:09:56,Francia
91,646 - JOUAN Simon,SEH,52,29:23:19,09:11:35,Francia
92,703 - POTTIN Antoine,SEH,53,29:25:01,09:13:17,Francia
93,"59 - ITURRIETA RUIZ Zigor
COMPRESSPORT TEAM",V1H,27,29:29:41,09:17:57,España
94,"1395 - VALDAVIDA Felix
UBIETAMENDI TALDEA",V1H,28,29:32:55,09:21:11,España
95,1947 - STERIN Guillaume,SEH,54,29:35:02,09:23:18,Francia
96,243 - BOULTER Robert,SEH,55,29:35:27,09:23:43,Reino Unido
97,93 - CALMETTES Guillaume,SEH,56,29:37:07,09:25:23,Francia
98,1058 - KNEEDLER Rick,V2H,4,29:40:58,09:29:14,Estados Unidos
99,427 - ANGEL Tegyn,SEH,57,29:40:59,09:29:15,Australia
100,"2566 - LATTION Albert
SC REPPAZ",V1H,29,29:43:00,09:31:16,Suiza
101,"136 - MODENA Christian
ALPSTATION TRAIL TEAM",SEH,58,29:45:47,09:34:03,Italia
102,"2118 - GUERRAS Gorka
Manuel Iradier - Snickers",SEH,59,29:46:39,09:34:55,España
103,1635 - GONNORD Samuel,SEH,60,29:47:23,09:35:39,Francia
104,"144 - PALLI Gianluca
ROCCA RUNNER",SEH,61,29:50:07,09:38:23,Italia
105,"2570 - BOUTET Alain
ENTENTE POITIERS ATHLE 86",V1H,30,29:50:25,09:38:41,Francia
106,753 - SZERDA Gabriel,SEH,62,29:55:41,09:43:57,Australia
